City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Ekhabi,RU,2023-01-10 14:00:52,53.5102,142.9671,-20.29,100,96,4.18
263,Diamantino,BR,2023-01-10 13:58:33,-14.4086,-56.4461,75.24,88,100,6.38
264,Simao,CN,2023-01-10 14:00:53,22.7886,100.9748,52.83,70,4,2.98
265,Kushima,JP,2023-01-10 14:00:53,31.4583,131.2333,46.62,81,0,5.01
266,Ust-Kulom,RU,2023-01-10 14:00:54,61.6864,53.6902,-4.0,81,100,7.74
267,Ponta Do Sol,PT,2023-01-10 14:00:54,32.6667,-17.1,68.72,74,91,5.21
268,Katsuura,JP,2023-01-10 14:00:55,35.1333,140.3,41.31,45,0,10.69
269,Mount Isa,AU,2023-01-10 14:00:55,-20.7333,139.5,80.37,83,40,5.75
270,Barcelona,ES,2023-01-10 14:00:01,41.3888,2.159,61.3,52,20,3.44
271,Tura,IN,2023-01-10 14:00:56,25.5198,90.2201,59.47,61,0,2.24
272,Caravelas,BR,2023-01-10 14:00:57,-17.7125,-39.2481,87.04,54,62,8.41
273,Alamosa,US,2023-01-10 14:00:57,37.4695,-105.87,30.18,64,0,11.5
274,Mount Gambier,AU,2023-01-10 13:57:17,-37.8333,140.7667,54.52,95,5,5.66
275,Kaspiysk,RU,2023-01-10 14:00:58,42.8816,47.6392,30.38,86,100,18.01
276,Puerto Escondido,MX,2023-01-10 14:00:58,15.85,-97.0667,72.43,94,0,9.22
277,Trelew,AR,2023-01-10 14:00:59,-43.249,-65.3051,66.47,94,75,8.05
278,Aykhal,RU,2023-01-10 14:02:00,66.0,111.5,-44.16,96,100,6.26
279,Macusani,PE,2023-01-10 14:02:00,-14.0833,-70.4333,45.88,64,84,2.33
280,Pacific Grove,US,2023-01-10 14:02:01,36.6177,-121.9166,55.72,85,98,8.99
281,Manoel Urbano,BR,2023-01-10 14:02:01,-8.8389,-69.2597,83.89,65,90,4.16
282,Hoi An,VN,2023-01-10 14:02:02,15.8794,108.335,71.56,89,56,4.92
283,Ulaanbaatar,MN,2023-01-10 14:02:03,47.9077,106.8832,-3.87,77,17,6.71
284,Oyama,JP,2023-01-10 14:00:00,36.3,139.8,43.59,42,0,4.88
285,Benjamin Hill,MX,2023-01-10 14:02:04,30.1667,-111.1,54.7,31,100,4.05
286,Flin Flon,CA,2023-01-10 14:02:05,54.7682,-101.865,12.04,85,100,4.61
287,Nome,US,2023-01-10 14:02:05,64.5011,-165.4064,-4.09,91,5,8.46
288,Trairi,BR,2023-01-10 13:58:11,-3.2778,-39.2689,87.17,57,21,14.7
289,Boyolangu,ID,2023-01-10 14:02:06,-8.1181,111.8935,76.42,90,33,4.27
290,Christchurch,NZ,2023-01-10 14:00:39,-43.5333,172.6333,62.91,86,75,12.66
291,Saldanha,ZA,2023-01-10 14:02:07,-33.0117,17.9442,66.88,73,39,13.82
292,Santa Cruz,BO,2023-01-10 14:02:08,-17.8,-63.1667,81.57,63,92,12.73
293,Mumford,GH,2023-01-10 14:02:08,5.2618,-0.759,83.91,65,23,12.26
294,Santander,ES,2023-01-10 14:02:09,43.4647,-3.8044,62.58,59,0,8.99
